Teams,HomeTeams,Date,Location
Bryant BRY,Merrimack MRMK,20201215,"Hammel Court, North Andover, MA"
Sacred Heart SHU,Long Island University LIU,20201215,"Steinberg Wellness Center, Brooklyn, NY"
Chattanooga CHAT,Austin Peay APSU,20201215,"Winfield Dunn Center, Clarksville, TN"
Drake DRKE,South Dakota State SDST,20201215,"Frost Arena, Brookings, SD"
Southern SOU,Baylor BAY,20201216,"Ferrell Center, Waco, TX"
North Dakota UND,North Dakota State NDSU,20201216,"Scheels Center, Fargo, ND"
Converse College CONV,Furman FUR,20201216,"Timmons Arena, Greenville, SC"
New Orleans UNO,Missouri MIZ,20201216,"Mizzou Arena, Columbia, MO"
Western Carolina WCU,Tennessee Tech TNTC,20201216,"Hooper Eblen Center, Cookeville, TN"
Lincoln PA LIPA,Delaware State DSU,20201216,"Memorial Hall , Dover, DE"
Xavier XAV,Valparaiso VAL,20201216,"Athletics-Recreation Center, Valparaiso, IN"
Sacred Heart SHU,Long Island University LIU,20201216,"Steinberg Wellness Center, Brooklyn, NY"
St. Francis (PA) SFPA,Fairleigh Dickinson FDU,20201216,"Stratis Arena at the Rothman Center, Teaneck, NJ"
Mt. St. Mary's MSM,Wagner WAG,20201216,"Spiro Sports Center, Staten Island, NY"
Villanova VILL,Providence PROV,20201216,"Alumni Hall , Providence, RI"
St. John's SJU,Marquette MARQ,20201216,"Al McGuire Center, Milwaukee, WI"
Stephen F. Austin SFA,Auburn AUB,20201216,"Auburn Arena, Auburn, AL"
Radford RAD,Longwood LONG,20201216,"Willett Hall, Farmville, VA"
Gardner-Webb GWEB,Presbyterian PRES,20201216,"Ross E. Templeton P.E. Center, Clinton, SC"
Dixie State DXST,UNLV UNLV,20201216,"Cox Pavilion, Las Vegas, NV"
SE Louisiana SELA,Lamar LAM,20201216,"Montagne Center, Beaumont, TX"
Grambling GRAM,Arkansas State ARST,20201216,"First National Bank Arena, Jonesboro, AR"
Liberty LIB,High Point HPU,20201216,"Millis Athletic and Convocation Center, High Point, NC"
Samford SAM,Jacksonville State JVST,20201216,"Pete Mathews Coliseum, Jacksonville, AL"
Coker COK,Coastal Carolina CCU,20201216,"The HTC Center, Conway, SC"
Drexel DREX,La Salle LAS,20201216,"Tom Gola Arena, Philadelphia, PA"
Oakland City OAC,Evansville EVAN,20201216,"Ford Center, Evansville, IN"
Florida A&M FAMU,Charleston Southern CHSO,20201216,"Buccaneer Fieldhouse, Charleston, SC"
Coppin State COPP,UMBC UMBC,20201216,"UMBC Event Center, Baltimore, MD"
Little Rock UALR,Central Arkansas CARK,20201216,"Farris Center, Conway, AR"
Le Tourneau LET,Incarnate Word UIW,20201216,"Alice P. McDermott Convocation Center, San Antonio, TX"
Texas State TXST,Texas A&M-CC AMCC,20201216,"American Bank Center, Corpus Christi, TX"
Air Force AFA,Oral Roberts ORU,20201216,"Mabee Center, Tulsa, OK"
Temple TEM,South Carolina SC,20201217,"Colonial Life Arena, Columbia, SC"
Florida State FSU,Louisville LOU,20201217,"KFC Yum! Center, Louisville, KY"
Wake Forest WAKE,NC State NCST,20201217,"William Neal Reynolds Coliseum, Raleigh, NC"
Virginia Tech VT,Notre Dame ND,20201217,"Purcell Pavilion, South Bend, IN"
Syracuse SYR,North Carolina UNC,20201217,"Carmichael Arena, Chapel Hill, NC"
Indiana State INST,Saint Louis SLU,20201217,"Chaifetz Arena, St. Louis, MO"
Morehead State MORE,Marshall MRSH,20201217,"Cam Henderson Center, Huntington, WV"
UTEP UTEP,Northern Arizona NAU,20201217,"J. Lawrence Walkup Skydome, Flagstaff, AZ"
Miami MIA,Georgia Tech GT,20201217,"McCamish Pavilion, Atlanta, GA"
VCU VCU,Vanderbilt VAN,20201217,"Memorial Gymnasium , Nashville, TN"
Belmont BEL,Tennessee State TNST,20201217,"Gentry Center, Nashville, TN"
South Carolina Upstate SCUP,Winthrop WIN,20201217,"Winthrop Coliseum, Rock Hill, SC"
Southern Miss USM,Alabama ALA,20201217,"Coleman Coliseum, Tuscaloosa, AL"
UM Kansas City UMKC,Southern Illinois SIU,20201217,"Banterra Center, Carbondale, IL"
Troy TROY,Middle Tennessee MTSU,20201217,"Murphy Athletic Center, Murfreesboro, TN"
Kansas KU,Texas TEX,20201217,"Frank Erwin Center, Austin, TX"
Richmond RICH,Norfolk State NORF,20201217,"Joseph G. Echols Hall, Norfolk, VA"
North Florida UNF,Auburn AUB,20201217,"Auburn Arena, Auburn, AL"
Georgia State GAST,Georgia UGA,20201217,"Stegeman Coliseum, Athens, GA"
Hot Springs Hot Springs,Arkansas State ARST,20201217,"First National Bank Arena, Jonesboro, AR"
Webber International WEBI,Florida Gulf Coast FGCU,20201217,"Alico Arena, Fort Myers, FL"
UL Monroe ULM,Louisiana Tech LT,20201217,"Thomas Assembly Center, Ruston, LA"
Southern SOU,Mississippi State MSST,20201218,"Humphrey Coliseum, Starkville, MS"
Arizona ARIZ,Colorado COLO,20201218,"CU Events Center, Boulder, CO"
Kansas State KSU,Iowa State ISU,20201218,"James H. Hilton Coliseum, Ames, IA"
Arizona State ASU,Utah UTAH,20201218,"Jon M. Huntsman Center, Salt Lake City, UT"
Fresno Pacific FRP,Nevada NEV,20201218,"Lawlor Events Center, Reno, NV"
Duquesne DUQ,Toledo TOL,20201218,"Savage Arena, Toledo, OH"
UNC Greensboro UNCG,Elon ELON,20201218,"Schar Center, Elon, NC"
San José State SJSU,Sacramento State SAC,20201218,"The Nest, Sacramento, CA"
Hofstra HOF,Fordham FOR,20201218,"Rose Hill Gymnasium, Bronx, NY"
South Dakota SDAK,Bradley BRAD,20201218,"Renaissance Coliseum, Peoria, IL"
Massachusetts MASS,Bryant BRY,20201218,"Chace Athletic Center, Smithfield, RI"
Quinnipiac QUIN,Manhattan MAN,20201218,"Draddy Gymnasium, Riverdale, NY"
Monmouth MONM,Saint Peter's SPU,20201218,"Yanitelli Center, Jersey City, NJ"
Rider RID,Iona IONA,20201218,"Hynes Athletics Center, New Rochelle, NY"
Niagara NIAG,Fairfield FAIR,20201218,"Webster Bank Arena, Bridgeport, CT"
Siena SIE,Canisius CAN,20201218,"Koessler Athletic Center, Buffalo, NY"
Mercer MER,Western Kentucky WKU,20201218,"E. A. Diddle Arena, Bowling Green, KY"
South Carolina Upstate SCUP,Winthrop WIN,20201218,"Winthrop Coliseum, Rock Hill, SC"
East Tennessee State ETSU,Davidson DAV,20201218,"John M. Belk Arena, Davidson, NC"
Eastern Kentucky EKY,Chattanooga CHAT,20201218,"McKenzie Arena, Chattanooga, TN"
West Virginia WVU,Oklahoma State OKST,20201218,"Gallagher-Iba Arena, Stillwater, OK"
UAB UAB,Stetson STET,20201218,"Edmunds Center, Deland, FL"
Utah Valley UVU,Southern Utah SUU,20201218,"America First Events Center, Cedar City, UT"
UNC Wilmington UNCW,Kennesaw State KENN,20201218,"KSU Convocation Center, Kennesaw, GA"
Arkansas-Pine Bluff ARPB,Central Arkansas CARK,20201218,"Farris Center, Conway, AR"
UT Arlington UTA,North Texas UNT,20201218,"South Padre Island Convention Center, South Padre Island, TX"
Florida Memorial FM,Florida Atlantic FAU,20201218,"FAU Arena, Boca Raton, FL"
Portland State PRST,Weber State WEB,20201218,"Dee Events Center, Ogden, UT"
SIU Edwardsville SIUE,Eastern Illinois EIU,20201218,"Lantz Arena, Charleston, IL"
UTSA UTSA,Sam Houston State SHSU,20201218,"Bernard G. Johnson Coliseum, Huntsville, TX"
Prairie View A&M PV,UT Rio Grande Valley UTRGV,20201218,"South Padre Island Convention Center, South Padre Island, TX"
Stanford STAN,USC USC,20201219,"Galen Center, Los Angeles, CA"
Xavier XAV,UConn CONN,20201219,"Gampel Pavilion, Storrs, CT"
McNeese State MCNS,Baylor BAY,20201219,"Ferrell Center, Waco, TX"
California CAL,UCLA UCLA,20201219,"Pauley Pavilion presented by Wescom, Los Angeles, CA"
Oregon ORE,Washington WASH,20201219,"Alaska Airlines Arena, Seattle, WA"
Wofford WOF,Kentucky UK,20201219,"Memorial Coliseum , Lexington, KY"
Oregon State ORST,Washington State WSU,20201219,"Friel Court at Beasley Coliseum, Pullman, WA"
Georgetown GTWN,DePaul DEP,20201219,"McGrath-Phillips Arena, Chicago, IL"
Converse College CONV,Coastal Carolina CCU,20201219,"The HTC Center, Conway, SC"
Alabama ALA,Memphis MEM,20201219,"Elma Roane Fieldhouse, Memphis, TN"
North Florida UNF,Florida A&M FAMU,20201219,"Al Lawson Center, Tallahassee, FL"
Quinnipiac QUIN,Manhattan MAN,20201219,"Draddy Gymnasium, Riverdale, NY"
Monmouth MONM,Saint Peter's SPU,20201219,"Yanitelli Center, Jersey City, NJ"
Rider RID,Iona IONA,20201219,"Hynes Athletics Center, New Rochelle, NY"
Niagara NIAG,Fairfield FAIR,20201219,"Webster Bank Arena, Bridgeport, CT"
Siena SIE,Canisius CAN,20201219,"Koessler Athletic Center, Buffalo, NY"
Miami (OH) M-OH,Evansville EVAN,20201219,"Ford Center, Evansville, IN"
Marquette MARQ,Seton Hall HALL,20201219,"Walsh Gymnasium, South Orange, NJ"
Butler BUT,Creighton CREI,20201219,"D.J. Sokol Arena, Omaha, NE"
Texas-Tyler TXTY,Stephen F. Austin SFA,20201219,"William R. Johnson Coliseum, Nacogdoches, TX"
Oral Roberts ORU,Missouri MIZ,20201219,"Mizzou Arena, Columbia, MO"
Robert Morris RMU,Milwaukee MILW,20201219,"Klotsche Center, Milwaukee, WI"
Youngstown State YSU,Green Bay GB,20201219,"Kress Events Center, Green Bay, WI"
Oakland OAK,Wright State WRST,20201219,"Nutter Center, Dayton, OH"
Northern Kentucky NKU,Purdue Fort Wayne PFW,20201219,"Hilliard Gates Sports Center, Fort Wayne, IN"
Detroit Mercy DET,UIC UIC,20201219,"Credit Union 1 Arena, Chicago, IL"
Cleveland State CLEV,IUPUI IUPU,20201219,"IUPUI Gymnasium, Indianapolis, IN"
UNC Asheville UNCA,High Point HPU,20201219,"Millis Athletic and Convocation Center, High Point, NC"
Lamar LAM,Texas State TXST,20201219,"Strahan Arena at the University Events Center, San Marcos, TX"
Samford SAM,Tennessee Tech TNTC,20201219,"Hooper Eblen Center, Cookeville, TN"
UMass Lowell UML,Vermont UVM,20201219,"Patrick Gymnasium, Burlington, VT"
Binghamton BING,Stony Brook STBK,20201219,"Island FCU Arena, Stony Brook, NY"
Albany ALB,UMBC UMBC,20201219,"UMBC Event Center, Baltimore, MD"
Hartford HART,Maine ME,20201219,"Cross Insurance Center, Bangor, ME"
William Carey WCC,Southern Miss USM,20201219,"Reed Green Coliseum, Hattiesburg, MS"
Charleston COFC,North Carolina Central NCCU,20201219,"McDougald-McLendon Arena, Durham, NC"
St. Bonaventure SBU,Buffalo BUFF,20201219,"Alumni Arena, Buffalo, NY"
Bowling Green BGSU,Morehead State MORE,20201219,"Ellis T. Johnson Arena, Morehead, KY"
Ole Miss MISS,George Mason GMU,20201219,"EagleBank Arena, Fairfax, VA"
UAB UAB,Abilene Christian ACU,20201219,"Edmunds Center, Deland, FL"
St. John's SJU,Providence PROV,20201219,"Alumni Hall , Providence, RI"
Arkansas ARK,Little Rock UALR,20201219,"Jack Stephens Center, Little Rock, AR"
South Dakota State SDST,Missouri State MOST,20201219,"JQH Arena, Springfield, MO"
Prairie View A&M PV,North Texas UNT,20201219,"South Padre Island Convention Center, South Padre Island, TX"
Alabama State ALST,Jacksonville State JVST,20201219,"Pete Mathews Coliseum, Jacksonville, AL"
Houston Baptist HBU,Grand Canyon GCU,20201219,"GCU Arena, Phoenix, AZ"
UT Martin UTM,Southeast Missouri State SEMO,20201219,"Show Me Center, Cape Girardeau, MO"
TCU TCU,Texas Tech TTU,20201219,"United Supermarkets Arena, Lubbock, TX"
LSU LSU,Pacific PAC,20201219,"Thomas & Mack Center, Las Vegas, NV"
Cal Poly CP,California Baptist CBU,20201219,"CBU Events Center, Riverside, CA"
UT Arlington UTA,UT Rio Grande Valley UTRGV,20201219,"South Padre Island Convention Center, South Padre Island, TX"
Belmont Abbey BAC,Liberty LIB,20201219,"Vines Convocation Center, Lynchburg, VA"
Seattle U SEA,Eastern Washington EWU,20201219,"Reese Court, Cheney, WA"
Mt. St. Mary's MSM,St. Francis (PA) SFPA,20201219,"DeGol Arena, Loretto, PA"
Fairleigh Dickinson FDU,Central Connecticut State CCSU,20201219,"William H. Detrick Gymnasium, New Britain, CT"
Austin Peay APSU,Murray State MURR,20201219,"CFSB Center, Murray, KY"
Miami MIA,Louisville LOU,20201220,"KFC Yum! Center, Louisville, KY"
Central Arkansas CARK,Mississippi State MSST,20201220,"Humphrey Coliseum, Starkville, MS"
Arizona ARIZ,Utah UTAH,20201220,"Jon M. Huntsman Center, Salt Lake City, UT"
Duke DUKE,NC State NCST,20201220,"William Neal Reynolds Coliseum, Raleigh, NC"
Rice RICE,Texas A&M TA&M,20201220,"Reed Arena, College Station, TX"
Eastern Michigan EMU,Gonzaga GONZ,20201220,"South Point Arena, Las Vegas, NV"
Notre Dame ND,Clemson CLEM,20201220,"Littlejohn Coliseum, Clemson, SC"
Syracuse SYR,Boston College BC,20201220,"Silvio O. Conte Forum, Chestnut Hill, MA"
South Alabama USA,New Orleans UNO,20201220,"Lakefront Arena, New Orleans, LA"
Arizona State ASU,Colorado COLO,20201220,"CU Events Center, Boulder, CO"
Elon ELON,North Carolina A&T NCAT,20201220,"Corbett Sports Center, Greensboro, NC"
Ohio OHIO,West Virginia WVU,20201220,"WVU Coliseum, Morgantown, WV"
Colorado State CSU,Fresno State FRES,20201220,"Save Mart Center, Fresno, CA"
Fairleigh Dickinson FDU,Central Connecticut State CCSU,20201220,"William H. Detrick Gymnasium, New Britain, CT"
Virginia UVA,Virginia Tech VT,20201220,"Cassell Coliseum, Blacksburg, VA"
Wake Forest WAKE,North Carolina UNC,20201220,"Carmichael Arena, Chapel Hill, NC"
Pittsburgh PITT,Florida State FSU,20201220,"Donald L. Tucker Center, Tallahassee, FL"
Gardner-Webb GWEB,Vanderbilt VAN,20201220,"Memorial Gymnasium , Nashville, TN"
Sacred Heart SHU,Rutgers RUTG,20201220,"Rutgers Athletic Center, Piscataway, NJ"
Wyoming WYO,Northern Colorado UNCO,20201220,"Bank of Colorado Arena, Greeley, CO"
Florida Gulf Coast FGCU,Florida International FIU,20201220,"Ocean Bank Convocation Center, Miami, FL"
Angelo State ANG,Texas A&M-CC AMCC,20201220,"American Bank Center, Corpus Christi, TX"
Alabama A&M AAMU,Belmont BEL,20201220,"Curb Event Center Arena, Nashville, TN"
Robert Morris RMU,Milwaukee MILW,20201220,"Klotsche Center, Milwaukee, WI"
Youngstown State YSU,Green Bay GB,20201220,"Kress Events Center, Green Bay, WI"
Oakland OAK,Wright State WRST,20201220,"Nutter Center, Dayton, OH"
Northern Kentucky NKU,Purdue Fort Wayne PFW,20201220,"Hilliard Gates Sports Center, Fort Wayne, IN"
Detroit Mercy DET,UIC UIC,20201220,"Credit Union 1 Arena, Chicago, IL"
Cleveland State CLEV,IUPUI IUPU,20201220,"IUPUI Gymnasium, Indianapolis, IN"
UNC Asheville UNCA,High Point HPU,20201220,"Millis Athletic and Convocation Center, High Point, NC"
Appalachian State APP,East Tennessee State ETSU,20201220,"Brooks Gym, Johnson City, TN"
Jackson State JKST,Tennessee TENN,20201220,"Thompson-Boling Arena, Knoxville, TN"
Northern Illinois NIU,Michigan State MSU,20201220,"Breslin Center, East Lansing, MI"
Boise State BSU,Pepperdine PEPP,20201220,"Firestone Fieldhouse, Malibu, CA"
UMass Lowell UML,Vermont UVM,20201220,"Patrick Gymnasium, Burlington, VT"
Binghamton BING,Stony Brook STBK,20201220,"Island FCU Arena, Stony Brook, NY"
Albany ALB,UMBC UMBC,20201220,"UMBC Event Center, Baltimore, MD"
Hartford HART,Maine ME,20201220,"Cross Insurance Center, Bangor, ME"
Lipscomb LIP,Middle Tennessee MTSU,20201220,
Louisiana UL,Louisiana Tech LT,20201220,"Thomas Assembly Center, Ruston, LA"
Georgia Southern GASO,Chattanooga CHAT,20201220,"GSU Sports Arena, Atlanta, GA"
Portland State PRST,Weber State WEB,20201220,"Dee Events Center, Ogden, UT"
Abilene Christian ACU,Stetson STET,20201220,"Edmunds Center, Deland, FL"
Florida FLA,Dayton DAY,20201220,"UD Arena, Dayton, OH"
Western Carolina WCU,Georgia State GAST,20201220,"GSU Sports Arena, Atlanta, GA"
Furman FUR,Georgia UGA,20201220,"Stegeman Coliseum, Athens, GA"
Mississippi Valley State MVSU,Northwestern State NWST,20201220,"Prather Coliseum, Natchitoches, LA"
William & Mary W&M,Norfolk State NORF,20201220,"Joseph G. Echols Hall, Norfolk, VA"
Martin Methodist MARM,Troy TROY,20201220,"Trojan Arena, Troy, AL"
LSU LSU,Loyola Marymount LMU,20201220,"Thomas & Mack Center, Las Vegas, NV"
Tarleton TAR,North Alabama UNA,20201220,"South Point Arena, Las Vegas, NV"
Northern Arizona NAU,UC Davis UCD,20201220,"The Pavilion , Davis, CA"
Pacific PAC,UNLV UNLV,20201220,"Thomas & Mack Center, Las Vegas, NV"
Stanford STAN,UCLA UCLA,20201221,"Pauley Pavilion presented by Wescom, Los Angeles, CA"
Oregon ORE,Washington State WSU,20201221,"Friel Court at Beasley Coliseum, Pullman, WA"
Arkansas-Pine Bluff ARPB,Arkansas ARK,20201221,"Bud Walton Arena, Fayetteville, AR"
Oregon State ORST,Washington WASH,20201221,"Alaska Airlines Arena, Seattle, WA"
North Alabama UNA,Gonzaga GONZ,20201221,"South Point Arena, Las Vegas, NV"
California CAL,USC USC,20201221,"Galen Center, Los Angeles, CA"
Nevada NEV,Saint Mary's SMC,20201221,"University Credit Union Pavilion, Moraga, CA"
North Dakota UND,Toledo TOL,20201221,"Savage Arena, Toledo, OH"
Utah State USU,San José State SJSU,20201221,"Provident Credit Union Event Center, San Jose, CA"
Morgan State MORG,Texas State TXST,20201221,"Strahan Arena at the University Events Center, San Marcos, TX"
South Carolina Upstate SCUP,Florida A&M FAMU,20201221,"Al Lawson Center, Tallahassee, FL"
Eastern Michigan EMU,Tarleton TAR,20201221,"South Point Arena, Las Vegas, NV"
Jacksonville JAX,Alabama ALA,20201221,"Coleman Coliseum, Tuscaloosa, AL"
Life Life,Kennesaw State KENN,20201221,"KSU Convocation Center, Kennesaw, GA"
Florida Gulf Coast FGCU,Florida International FIU,20201221,"Ocean Bank Convocation Center, Miami, FL"
Mercer MER,Tennessee Tech TNTC,20201221,"Hooper Eblen Center, Cookeville, TN"
South Dakota State SDST,Montana State MTST,20201221,"Worthington Arena, Bozeman, MT"
Texas Southern TXSO,Stephen F. Austin SFA,20201221,"William R. Johnson Coliseum, Nacogdoches, TX"
Charleston Southern CHSO,Hampton HAMP,20201221,"Convocation Center , Hampton, VA"
Dixie State DXST,Southern Utah SUU,20201221,"America First Events Center, Cedar City, UT"
Samford SAM,Western Kentucky WKU,20201221,"E. A. Diddle Arena, Bowling Green, KY"
Alabama State ALST,Ole Miss MISS,20201221,"The Pavilion at Ole Miss, Oxford, MS"
North Dakota State NDSU,Kansas KU,20201221,"Allen Fieldhouse, Lawrence, KS"
Western Carolina WCU,Georgia Southern GASO,20201221,"GSU Sports Arena, Atlanta, GA"
UCF UCF,Georgia Tech GT,20201221,"McCamish Pavilion, Atlanta, GA"
Chicago State CHIC,SIU Edwardsville SIUE,20201221,"First Community Arena at the Vadalabene Center, Edwardsville, IL"
Southern SOU,Texas Tech TTU,20201221,"United Supermarkets Arena, Lubbock, TX"
Benedictine BENC,Grand Canyon GCU,20201221,"GCU Arena, Phoenix, AZ"
Chattanooga CHAT,Georgia State GAST,20201221,"GSU Sports Arena, Atlanta, GA"
Loyola Marymount LMU,UNLV UNLV,20201221,"Thomas & Mack Center, Las Vegas, NV"
Incarnate Word UIW,UT Rio Grande Valley UTRGV,20201221,"UTRGV Fieldhouse, Edinburg, TX"
Utah Valley UVU,Montana MONT,20201221,"Dahlberg Arena, Missoula, MT"
California Baptist CBU,UC San Diego UCSD,20201221,"RIMAC Arena, San Diego, CA"
Seattle U SEA,Idaho IDHO,20201221,"Cowan Spectrum, Moscow, ID"
Cal Poly CP,San Diego State SDSU,20201221,"Viejas Arena, San Diego, CA"
Delaware State DSU,George Mason GMU,20201221,"EagleBank Arena, Fairfax, VA"
McNeese State MCNS,UL Monroe ULM,20201221,"Fant-Ewing Coliseum, Monroe, LA"
Texas TEX,Kansas State KSU,20201221,"Bramlage Coliseum, Manhattan, KS"
UConn CONN,Villanova VILL,20201222,"Finneran Pavilion, Villanova, PA"
Drake DRKE,Iowa State ISU,20201222,"James H. Hilton Coliseum, Ames, IA"
DePaul DEP,Creighton CREI,20201222,"D.J. Sokol Arena, Omaha, NE"
Alcorn State ALCN,New Orleans UNO,20201222,"Lakefront Arena, New Orleans, LA"
Mt. St. Mary's MSM,Hofstra HOF,20201222,"David S. Mack Sports and Exhibition Complex, Hempstead, NY"
Bryant BRY,Fairfield FAIR,20201222,"Webster Bank Arena, Bridgeport, CT"
Drexel DREX,Monmouth MONM,20201222,"OceanFirst Bank Center, West Long Branch, NJ"
San Francisco SF,Sacramento State SAC,20201222,"The Nest, Sacramento, CA"
Coppin State COPP,West Virginia WVU,20201222,"WVU Coliseum, Morgantown, WV"
North Florida UNF,Florida FLA,20201222,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
Saint Peter's SPU,Fairleigh Dickinson FDU,20201222,"Stratis Arena at the Rothman Center, Teaneck, NJ"
Liberty LIB,William & Mary W&M,20201222,"Kaplan Arena, Williamsburg, VA"
Seton Hall HALL,Georgetown GTWN,20201222,"McDonough Arena, Washington, DC"
Marquette MARQ,Xavier XAV,20201222,"Cintas Center, Cincinnati, OH"
Sacred Heart SHU,Iona IONA,20201222,"Hynes Athletics Center, New Rochelle, NY"
Western Illinois WIU,Iowa IOWA,20201222,"Carver-Hawkeye Arena, Iowa City, IA"
Charleston Southern CHSO,Hampton HAMP,20201222,"Convocation Center , Hampton, VA"
Oral Roberts ORU,TCU TCU,20201222,"Ed and Rae Schollmaier Arena, Fort Worth, TX"
Oklahoma State OKST,North Texas UNT,20201222,"UNT Coliseum, Denton, TX"
Western Michigan WMU,Buffalo BUFF,20201222,"Alumni Arena, Buffalo, NY"
Long Beach State LBSU,USC USC,20201222,"Galen Center, Los Angeles, CA"
Evansville EVAN,Butler BUT,20201222,"Hinkle Fieldhouse, Indianapolis, IN"
Appalachian State APP,Georgia UGA,20201222,"Stegeman Coliseum, Athens, GA"
Tennessee State TNST,UAB UAB,20201222,"Bartow Arena, Birmingham, AL"
Eastern Kentucky EKY,Northwestern NW,20201222,"Welsh-Ryan Arena, Evanston, IL"
St. Francis (PA) SFPA,Towson TOW,20201222,"SECU Arena, Towson, MD"
UNC Wilmington UNCW,Duke DUKE,20201222,"Cameron Indoor Stadium, Durham, NC"
Utah State USU,San José State SJSU,20201223,"Provident Credit Union Event Center, San Jose, CA"
Southern Illinois SIU,Illinois ILL,20201223,"State Farm Center, Champaign, IL"
Florida A&M FAMU,Dayton DAY,20201223,"UD Arena, Dayton, OH"
Morgan State MORG,Texas Tech TTU,20201223,"United Supermarkets Arena, Lubbock, TX"
Northern Iowa UNI,South Dakota State SDST,20201223,"Frost Arena, Brookings, SD"
Vermont UVM,NJIT NJIT,20201227,"NJIT Wellness and Events Center, Newark, NJ"
Stony Brook STBK,UMass Lowell UML,20201227,"Costello Athletic Center, Lowell, MA"
New Hampshire UNH,Hartford HART,20201227,"Chase Arena, West Hartford, CT"
UMBC UMBC,Binghamton BING,20201227,"Events Center , Binghamton, NY"
Hawai'i HAW,Cal Poly CP,20201227,"Robert A. Mott Athletics Center, San Luis Obispo, CA"
UC Riverside UCR,Long Beach State LBSU,20201227,"Walter Pyramid, Long Beach, CA"
UC Irvine UCI,UC Santa Barbara UCSB,20201227,"The Thunderdome, Santa Barbara, CA"
CSU Bakersfield CSUB,UC Davis UCD,20201227,"The Pavilion , Davis, CA"
Northwestern State NWST,Texas A&M TA&M,20201228,"Reed Arena, College Station, TX"
Gonzaga GONZ,Loyola Marymount LMU,20201228,"Gersten Pavilion, Los Angeles, CA"
Colorado State CSU,Fresno State FRES,20201228,"Save Mart Center, Fresno, CA"
Samford SAM,Vanderbilt VAN,20201228,"Memorial Gymnasium , Nashville, TN"
Vermont UVM,NJIT NJIT,20201228,"NJIT Wellness and Events Center, Newark, NJ"
Stony Brook STBK,UMass Lowell UML,20201228,"Costello Athletic Center, Lowell, MA"
New Hampshire UNH,Hartford HART,20201228,"Chase Arena, West Hartford, CT"
UMBC UMBC,Binghamton BING,20201228,"Events Center , Binghamton, NY"
San Francisco SF,BYU BYU,20201228,"Marriott Center, Provo, UT"
Santa Clara SCU,San Diego USD,20201228,"Jenny Craig Pavilion, San Diego, CA"
Portland PORT,Pepperdine PEPP,20201228,"Firestone Fieldhouse, Malibu, CA"
Hawai'i HAW,Cal Poly CP,20201228,"Robert A. Mott Athletics Center, San Luis Obispo, CA"
UC Riverside UCR,Long Beach State LBSU,20201228,"Walter Pyramid, Long Beach, CA"
UC Irvine UCI,UC Santa Barbara UCSB,20201228,"The Thunderdome, Santa Barbara, CA"
CSU Bakersfield CSUB,UC Davis UCD,20201228,"The Pavilion , Davis, CA"
Lipscomb LIP,Tennessee TENN,20201228,"Thompson-Boling Arena, Knoxville, TN"
Howard HOW,La Salle LAS,20201228,"Tom Gola Arena, Philadelphia, PA"
Our Lady Of The Lake LDY,Sam Houston State SHSU,20201228,"Bernard G. Johnson Coliseum, Huntsville, TX"
South Carolina State SCST,Western Carolina WCU,20201229,"Ramsey Regional Activity Center, Cullowhee, NC"
Bellarmine BELL,Evansville EVAN,20201229,"Ford Center, Evansville, IN"
Jackson State JKST,Memphis MEM,20201229,"Elma Roane Fieldhouse, Memphis, TN"
New Mexico State NMSU,Kansas KU,20201229,"Allen Fieldhouse, Lawrence, KS"
Mercer MER,UNC Wilmington UNCW,20201229,"Trask Coliseum, Wilmington, NC"
Incarnate Word UIW,Texas Tech TTU,20201229,"United Supermarkets Arena, Lubbock, TX"
Lamar LAM,Texas TEX,20201229,"Frank Erwin Center, Austin, TX"
Chattanooga CHAT,North Alabama UNA,20201229,"Flowers Hall, Florence, AL"
McNeese State MCNS,Grambling GRAM,20201229,"Fredrick C. Hobdy Assembly Center, Grambling, LA"
Coppin State COPP,Towson TOW,20201229,"SECU Arena, Towson, MD"
Gonzaga GONZ,Pepperdine PEPP,20201230,"Firestone Fieldhouse, Malibu, CA"
Nicholls State NICH,Alabama A&M AAMU,20201230,"T.M. Elmore Gymnasium, Normal, AL"
Chicago State CHIC,Western Illinois WIU,20201230,"LeRoy A. Ufkes Court at Western Hall, Macomb, IL"
Southeast Missouri State SEMO,Tennessee Tech TNTC,20201230,"Hooper Eblen Center, Cookeville, TN"
Eastern Illinois EIU,Eastern Kentucky EKY,20201230,"McBrayer Arena, Richmond, KY"
Presbyterian PRES,Radford RAD,20201230,"Donald N. Dedmon Center, Radford, VA"
Longwood LONG,UNC Asheville UNCA,20201230,"Kimmel Arena, Asheville, NC"
High Point HPU,South Carolina Upstate SCUP,20201230,"G. B. Hodge Center, Spartanburg, SC"
Hampton HAMP,Gardner-Webb GWEB,20201230,"Paul Porter Arena, Boiling Springs, NC"
Winthrop WIN,Campbell CAMP,20201230,"John W. Pope Jr. Convocation Center, Buies Creek, NC"
Auburn-Montgomery AUM,Samford SAM,20201230,"Pete Hanna Center, Birmingham, AL"
Miami (OH) M-OH,Central Michigan CMU,20201230,"McGuirk Arena, Mount Pleasant, MI"
Ball State BALL,Akron AKR,20201230,"James A. Rhodes Arena, Akron, OH"
Ohio OHIO,Northern Illinois NIU,20201230,"NIU Convocation Center, Dekalb, IL"
Santa Clara SCU,BYU BYU,20201230,"Marriott Center, Provo, UT"
